filename,class,dice,iou
benign_27,benign,0.9411,0.8887
benign_257,benign,0.0108,0.0054
benign_358,benign,0.7896,0.6523
malignant_166,malignant,0.7966,0.662
benign_2,benign,0.9268,0.8636
benign_74,benign,0.9197,0.8513
malignant_82,malignant,0.6059,0.4346
benign_82,benign,0.6602,0.4928
benign_110,benign,0.8498,0.7388
benign_228,benign,0.415,0.2618
benign_420,benign,0.8275,0.7057
malignant_156,malignant,0.7569,0.6088
malignant_62,malignant,0.9045,0.8256
malignant_41,malignant,0.6358,0.4661
benign_235,benign,0.8999,0.818
malignant_170,malignant,0.8677,0.7663
benign_204,benign,0.8425,0.7279
benign_78,benign,0.5827,0.4111
benign_219,benign,0.191,0.1056
malignant_210,malignant,0.7852,0.6464
benign_330,benign,0.96,0.9231
malignant_183,malignant,0.9371,0.8816
benign_286,benign,0.9593,0.9218
benign_431,benign,0.8978,0.8145
benign_249,benign,0.7856,0.6469
benign_326,benign,0.9494,0.9036
benign_129,benign,0.9125,0.839
benign_51,benign,0.9152,0.8436
benign_365,benign,0.8821,0.789
benign_306,benign,0.6185,0.4477
malignant_66,malignant,0.7724,0.6292
benign_53,benign,0.8778,0.7822
malignant_99,malignant,0.7574,0.6095
benign_39,benign,0.8541,0.7453
benign_298,benign,0.0,0.0
benign_334,benign,0.7807,0.6403
benign_332,benign,0.9243,0.8593
malignant_109,malignant,0.5909,0.4193
benign_383,benign,0.6263,0.4559
benign_111,benign,0.9011,0.8201
malignant_22,malignant,0.8034,0.6713
malignant_95,malignant,0.5192,0.3506
benign_29,benign,0.9037,0.8243
malignant_112,malignant,0.8752,0.7781
benign_416,benign,0.0135,0.0068
benign_399,benign,0.9408,0.8882
malignant_141,malignant,0.8379,0.721
benign_422,benign,0.9401,0.887
benign_435,benign,0.8808,0.7869
benign_77,benign,0.8367,0.7193
benign_261,benign,0.9518,0.908
malignant_24,malignant,0.7892,0.6518
malignant_172,malignant,0.3605,0.2199
benign_147,benign,0.8633,0.7595
benign_434,benign,0.9687,0.9394
malignant_71,malignant,0.7842,0.6449
malignant_159,malignant,0.7127,0.5537
benign_139,benign,0.9342,0.8765
benign_423,benign,0.5212,0.3525
malignant_174,malignant,0.6124,0.4413
benign_212,benign,0.0322,0.0164
benign_269,benign,0.4943,0.3283
benign_402,benign,0.6546,0.4866
malignant_157,malignant,0.1206,0.0642
benign_103,benign,0.9434,0.8929
malignant_36,malignant,0.7391,0.5861
benign_411,benign,0.9248,0.8601
benign_69,benign,0.9305,0.87
benign_366,benign,0.9313,0.8715
benign_390,benign,0.9442,0.8943
benign_364,benign,0.8402,0.7245
benign_146,benign,0.8858,0.795
benign_189,benign,0.9065,0.8291
benign_314,benign,0.229,0.1293
benign_144,benign,0.9283,0.8662
benign_382,benign,0.9522,0.9088
malignant_171,malignant,0.7404,0.5878
benign_160,benign,0.9427,0.8916
benign_112,benign,0.9102,0.8352
malignant_85,malignant,0.9119,0.8381
benign_143,benign,0.8876,0.7979
benign_333,benign,0.7525,0.6033
malignant_77,malignant,0.7207,0.5634
malignant_154,malignant,0.913,0.8399
malignant_78,malignant,0.6987,0.5369
benign_149,benign,0.8222,0.6981
benign_276,benign,0.9614,0.9256
benign_136,benign,0.9416,0.8897
benign_336,benign,0.7237,0.5671
benign_405,benign,0.8264,0.7042
benign_180,benign,0.9667,0.9356
benign_24,benign,0.8971,0.8133
benign_340,benign,0.9206,0.8528
malignant_65,malignant,0.7657,0.6203
benign_352,benign,0.8438,0.7299
benign_76,benign,0.9282,0.866
benign_66,benign,0.933,0.8744
benign_400,benign,0.8076,0.6772
benign_275,benign,0.9323,0.8731
benign_331,benign,0.8755,0.7785
benign_209,benign,0.9284,0.8663
benign_107,benign,0.8592,0.7531
benign_145,benign,0.8351,0.7168
benign_290,benign,0.9227,0.8564
benign_22,benign,0.9094,0.8339
benign_274,benign,0.938,0.8832
benign_159,benign,0.5265,0.3573
benign_385,benign,0.9009,0.8197
benign_20,benign,0.7265,0.5705
benign_363,benign,0.9063,0.8287
malignant_7,malignant,0.7667,0.6216
benign_220,benign,0.8542,0.7455
malignant_176,malignant,0.5453,0.3749
malignant_185,malignant,0.9476,0.9004
malignant_201,malignant,0.8685,0.7675
malignant_117,malignant,0.8371,0.7198
benign_259,benign,0.9351,0.8781
benign_418,benign,0.7491,0.5988
benign_156,benign,0.9163,0.8455
malignant_87,malignant,0.9295,0.8682
benign_384,benign,0.711,0.5515
benign_134,benign,0.8915,0.8042
benign_8,benign,0.9288,0.867
benign_285,benign,0.9124,0.839
benign_254,benign,0.4913,0.3256
benign_41,benign,0.7881,0.6503
malignant_10,malignant,0.7509,0.6012
malignant_140,malignant,0.7528,0.6036
malignant_179,malignant,0.6837,0.5194
malignant_13,malignant,0.3682,0.2257
benign_37,benign,0.8902,0.8022
malignant_105,malignant,0.0,0.0
benign_397,benign,0.4345,0.2775
benign_216,benign,0.9341,0.8764
malignant_128,malignant,0.8332,0.7141
benign_42,benign,0.7807,0.6403
malignant_52,malignant,0.8088,0.6789
malignant_18,malignant,0.4698,0.307
benign_355,benign,0.9586,0.9205
malignant_107,malignant,0.0,0.0
malignant_124,malignant,0.8569,0.7496
benign_10,benign,0.9571,0.9177
malignant_191,malignant,0.1718,0.094
benign_185,benign,0.8815,0.7881
malignant_203,malignant,0.7956,0.6606
benign_152,benign,0.9042,0.8251
benign_291,benign,0.8941,0.8085
benign_377,benign,0.7236,0.5669
benign_415,benign,0.7903,0.6533
benign_43,benign,0.8661,0.7637
benign_211,benign,0.7842,0.645
benign_297,benign,0.939,0.885
malignant_68,malignant,0.8743,0.7766
malignant_138,malignant,0.7273,0.5715
benign_258,benign,0.883,0.7906
benign_318,benign,0.9081,0.8317
benign_296,benign,0.8997,0.8177
benign_354,benign,0.9456,0.8967
benign_272,benign,0.1667,0.0909
malignant_25,malignant,0.8254,0.7027
malignant_118,malignant,0.8058,0.6748
benign_84,benign,0.6275,0.4572
benign_313,benign,0.3054,0.1802
benign_410,benign,0.4573,0.2964
benign_14,benign,0.7869,0.6487
benign_404,benign,0.7846,0.6455
malignant_204,malignant,0.5816,0.4101
benign_380,benign,0.9336,0.8754
benign_38,benign,0.9082,0.8318
benign_347,benign,0.8785,0.7833
malignant_72,malignant,0.4314,0.2751
malignant_205,malignant,0.9194,0.8508
benign_226,benign,0.8788,0.7838
benign_182,benign,0.7926,0.6564
benign_174,benign,0.9624,0.9276
malignant_208,malignant,0.6999,0.5383
malignant_12,malignant,0.8401,0.7243
malignant_188,malignant,0.8025,0.6702
benign_155,benign,0.9616,0.926
benign_118,benign,0.8294,0.7086
benign_339,benign,0.9455,0.8965
benign_394,benign,0.0,0.0
malignant_184,malignant,0.7846,0.6456
malignant_119,malignant,0.7916,0.655
malignant_19,malignant,0.8665,0.7645
malignant_48,malignant,0.8482,0.7363
benign_323,benign,0.9397,0.8863
benign_417,benign,0.8209,0.6962
benign_67,benign,0.9006,0.8191
benign_321,benign,0.4158,0.2624
benign_299,benign,0.2791,0.1622
malignant_101,malignant,0.8409,0.7254
malignant_97,malignant,0.4939,0.328
benign_429,benign,0.8162,0.6895
benign_65,benign,0.9556,0.915
benign_252,benign,0.9412,0.8889
malignant_89,malignant,0.7311,0.5761
malignant_130,malignant,0.9023,0.8219
benign_64,benign,0.9197,0.8513
benign_81,benign,0.8947,0.8095
benign_179,benign,0.5758,0.4043
malignant_137,malignant,0.7892,0.6518
malignant_182,malignant,0.4609,0.2994
benign_361,benign,0.9442,0.8943
benign_224,benign,0.8455,0.7323
malignant_189,malignant,0.0835,0.0436
malignant_206,malignant,0.9399,0.8865
benign_338,benign,0.7069,0.5466
malignant_50,malignant,0.7164,0.5582
malignant_175,malignant,0.8318,0.7121
benign_303,benign,0.8595,0.7536
benign_308,benign,0.3437,0.2075
benign_250,benign,0.8774,0.7815
malignant_133,malignant,0.8122,0.6838
benign_277,benign,0.886,0.7954
malignant_60,malignant,0.6777,0.5125
benign_137,benign,0.9054,0.8272
benign_125,benign,0.8731,0.7747
benign_311,benign,0.6013,0.4299
benign_5,benign,0.855,0.7467
benign_324,benign,0.8984,0.8156
malignant_164,malignant,0.8764,0.7801
benign_271,benign,0.8448,0.7313
benign_248,benign,0.1312,0.0702
benign_433,benign,0.8192,0.6938
benign_360,benign,0.5157,0.3474
malignant_67,malignant,0.4025,0.2519
benign_247,benign,0.0286,0.0145
malignant_142,malignant,0.5765,0.405
benign_322,benign,0.8422,0.7275
benign_231,benign,0.9249,0.8604
malignant_56,malignant,0.8855,0.7944
benign_282,benign,0.8984,0.8155
benign_266,benign,0.9034,0.8237
malignant_83,malignant,0.881,0.7873
benign_265,benign,0.8683,0.7673
malignant_21,malignant,0.1405,0.0755
benign_142,benign,0.8275,0.7057
malignant_198,malignant,0.0231,0.0117
benign_124,benign,0.9308,0.8706
benign_337,benign,0.7654,0.6199
benign_91,benign,0.8867,0.7965
benign_412,benign,0.7755,0.6333
malignant_76,malignant,0.653,0.4848
benign_56,benign,0.8928,0.8064
malignant_129,malignant,0.8532,0.744
malignant_200,malignant,0.6905,0.5273
benign_389,benign,0.8196,0.6943
malignant_26,malignant,0.9102,0.8353
benign_244,benign,0.9123,0.8387
malignant_160,malignant,0.5443,0.3739
malignant_207,malignant,0.7646,0.6189
benign_391,benign,0.0856,0.0447
malignant_69,malignant,0.8343,0.7158
benign_376,benign,0.9201,0.852
benign_349,benign,0.8634,0.7596
malignant_35,malignant,0.8281,0.7067
benign_35,benign,0.9424,0.891
benign_403,benign,0.8767,0.7805
malignant_39,malignant,0.9155,0.8442
benign_393,benign,0.8133,0.6854
benign_3,benign,0.9196,0.8511
benign_238,benign,0.939,0.885
benign_343,benign,0.9353,0.8785
benign_301,benign,0.7528,0.6035
benign_370,benign,0.9163,0.8455
benign_196,benign,0.6783,0.5132
benign_437,benign,0.1522,0.0824
malignant_33,malignant,0.8543,0.7456
benign_342,benign,0.9059,0.8281
benign_223,benign,0.0571,0.0294
benign_165,benign,0.3421,0.2063
malignant_14,malignant,0.8911,0.8036
malignant_91,malignant,0.7323,0.5776
benign_193,benign,0.9491,0.9032
benign_218,benign,0.9204,0.8526
benign_158,benign,0.8255,0.7028
benign_335,benign,0.2857,0.1666
benign_63,benign,0.81,0.6806
malignant_193,malignant,0.8276,0.7059
benign_30,benign,0.906,0.8281
benign_18,benign,0.9254,0.8612
malignant_96,malignant,0.6309,0.4608
malignant_2,malignant,0.3914,0.2433
benign_191,benign,0.8645,0.7614
benign_119,benign,0.413,0.2603
malignant_47,malignant,0.8742,0.7766
benign_207,benign,0.5782,0.4067
malignant_165,malignant,0.2906,0.17
malignant_150,malignant,0.9022,0.8218
benign_317,benign,0.4712,0.3082
benign_130,benign,0.9628,0.9283
benign_225,benign,0.8118,0.6832
benign_316,benign,0.9427,0.8917
malignant_209,malignant,0.5241,0.3551
benign_79,benign,0.9587,0.9207
malignant_90,malignant,0.5008,0.3341
benign_131,benign,0.4424,0.284
malignant_88,malignant,0.9218,0.855
malignant_1,malignant,0.893,0.8067
malignant_167,malignant,0.9298,0.8689
benign_192,benign,0.9542,0.9123
malignant_46,malignant,0.799,0.6652
benign_34,benign,0.9351,0.8781
benign_353,benign,0.8202,0.6951
benign_273,benign,0.9605,0.924
malignant_80,malignant,0.3409,0.2055
benign_148,benign,0.9305,0.87
benign_61,benign,0.0,0.0
benign_199,benign,0.767,0.6221
benign_372,benign,0.9019,0.8213
benign_395,benign,0.9098,0.8346
benign_97,benign,0.9041,0.8249
benign_89,benign,0.4155,0.2623
benign_11,benign,0.7762,0.6342
