feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
int_mean,0.03862144952854035,0.25528539654156346,-0.0010649863027629447,0.19984247721585224,-0.011010475764538048,0.12098493864129155,0.00282196201535298,0.05817082870779895,0.02999711296560697,-0.08424551247890784,-0.055588557435157636,0.08358308382907399,-0.028383243926271805,-0.0320761454061252,0.03576941853401558,0.06254617321624559
int_std,0.00012179193641273511,0.11433365385728156,0.19484190847771016,-0.2960833164735561,-0.11404372073917159,0.02788343525868403,-0.0014188779352000414,0.14529200420985874,0.1326932329247581,0.027884708727560267,-0.3169852102989671,-0.1927005545955336,-0.18975807192976366,-0.3760765977256403,0.10503032642194335,-0.008872948007056326
int_skew,-0.10240103551558133,-0.20734436278003865,0.13321474373119596,0.1556179719208951,0.05630876490133521,-0.14215656912504696,0.05078199761132677,0.053597956735195615,0.0006688421776693682,-0.04232339048552268,-0.13632340770002904,-0.07200887946425204,0.020286945830253183,-0.08026284711823828,0.04922160310186801,0.004171974580232475
int_kurtosis,-0.06530888964855086,-0.18395487015375322,0.13609944715901998,0.2931409725985057,0.07593305410432623,-0.10901618089459784,0.06541521863649655,0.08885647049040228,-0.025937344494563346,-0.06248309293705134,-0.26259229987289034,-0.07794249140336452,0.07286668683581232,-0.04886925038765788,0.04971380216466014,-0.03252898834843555
int_contrast_lesion_bg,-0.0370874673942862,-0.24637716508419683,-0.007186026337654628,-0.1934511532507326,-0.017842644761705533,-0.11234223088326245,-0.010945172147100224,-0.0584568557828985,0.026451199402821285,0.04886791856920908,0.0209578269433347,-0.012531924504811276,0.06322410537969597,-0.009958028335336058,-0.024049708974153733,0.000289711342533
int_delta_perilesional,-0.11168141410602232,-0.1487782684360466,-0.08391939542185996,-0.18806327425867572,-0.10198203816327757,-0.14074348410028426,0.10247129412566007,0.1086780673740172,0.02039143323814512,-0.11599776937793396,-0.15348025023558787,-0.007115138085038053,0.08207181811790756,-0.25980801358440075,-0.13928157154554274,0.4003867863130217
morph_area_relative,0.18649345833851533,-0.05560930534345471,0.14798637656361646,-0.0813411579399185,-0.16949041226401707,0.04230928808844475,0.09426104094833127,0.03625587552731141,-0.016834282251289828,0.003674712757403109,0.019731468052549772,0.061437618484215945,0.0804379118522556,0.10221107388361636,0.08460618864012336,0.05367876675711819
morph_perimeter_px,0.2101763111865498,-0.050048015040326674,0.1663621857043145,-0.07392872640285145,-0.02815029482647928,-0.018790211893200653,0.051172822708077846,0.03236393356424043,0.0007681840101790988,-0.03851798335627915,0.015381362732612008,0.05731774945728724,0.0490376642865307,0.03479190492431557,0.06227340921611037,0.056291692360506435
morph_circularity,-0.11554315489408631,-0.08829429473051163,-0.1589084175707227,0.07270824047012751,-0.43705222399736426,0.06621379362484141,-0.0692417990873363,0.06791908718379214,0.02050745289212036,0.046619507943360505,-0.12388121449989309,0.08519702159519035,0.04409768459328413,0.053091697988178685,0.029044612563752126,-0.022621740503667664
morph_irregularity,0.11554315489408634,0.0882942947305116,0.15890841757072266,-0.07270824047012761,0.4370522239973643,-0.06621379362484127,0.06924179908733621,-0.06791908718379229,-0.02050745289212047,-0.046619507943360644,0.12388121449989303,-0.08519702159519037,-0.04409768459328402,-0.05309169798817856,-0.02904461256375182,0.02262174050366772
morph_aspect_ratio_wh,0.010056704961549723,0.13239508797966656,0.09899470194414832,0.15189282819428795,0.0951758193421271,-0.32474220293774114,0.35543044548372654,-0.07046411346911885,0.060945485624236025,-0.007857476228702504,0.35906410854557136,-0.24720592401300812,-0.18455155170904736,-0.0985384440050597,-0.2205588312591963,0.09286471145868447
morph_solidity,-0.10650391373143499,-0.02005184094791548,-0.08679920539475316,0.20467633666161814,-0.4148662154592476,-0.13461686278321428,0.16921661754931835,-0.02150893653028796,0.08863200058857684,0.05662322788065988,0.12829414546892037,-0.05893679296906765,-0.09737622055953044,0.085986750432067,-0.19603014543691905,0.06523706277093716
morph_extent,-0.10936250812464,-0.051804046861544314,-0.13725277249451717,0.09021491272675658,-0.4044547493179792,-0.11349864050449525,0.20924281351225024,0.018960975965614885,0.016707291977878347,0.010057342982251749,0.14227875416878574,-0.02183113497018574,-0.0445680400946879,-0.002669576050382802,0.1718628154415898,-0.03198422530148681
glcm_homogeneity_d1,0.10692826466341211,-0.22277628312892525,0.010884071104110599,0.058741484276229466,0.06228876258375305,0.048943969243296026,-0.16162753962101567,-0.014627655168338444,0.14528335264395786,-0.015075183207329451,0.055363164402959936,0.12009592635180244,-0.2243815080660033,0.028414840063071933,0.0023974326695192505,-0.11764636882507311
glcm_contrast_d1,-0.15778342694727762,0.05117468132680152,0.3017043381175841,-0.003341384586630066,-0.056865930849159814,0.030942784674950288,-0.11730908370384213,-0.05748894567084934,0.03888753395831224,0.08887004172800783,0.07522643646417211,0.03269551761626888,-0.03405963990288702,0.03007119919254718,-0.00624674649067139,-0.058359627809932924
glcm_entropy_d1,0.03096745738469993,0.24713861300579693,0.03930505933893172,-0.1220774040259056,-0.07419755984993613,0.0469882340883415,0.05514875106898559,-0.01054623631245014,-0.18277280095658804,0.09640099776044814,-0.16846051400069958,-0.24481936448495073,0.186156698415855,0.021832136220016063,-0.022116760272840263,0.09049706383310224
glcm_correlation_d1,0.16375591438883044,-0.015707371554392936,-0.22170543787084626,-0.20549532552422473,-0.056983587046389964,-0.021422058528141455,0.019481958333924854,0.03733605455031982,0.13245516237679833,-0.07667677903759747,-0.10551086701466458,-0.07437897069274993,-0.16375739742791698,-0.23791472865410096,0.006283449853838913,-0.05901432515131651
glcm_homogeneity_d4,0.054798117078832746,-0.25331102390338817,0.012250431090567693,0.01440060350442156,0.051143890161165516,-0.0024772526572713607,-0.08328417051059439,0.0251586705123773,0.1913893717759696,-0.06210190850632924,0.10390755480111372,0.14950020138612444,-0.2595505551118242,-0.09322612515460688,0.02464627610948121,-0.08115307167523461
glcm_contrast_d4,-0.16401008703301842,0.09390360239116569,0.24827060673838774,-0.06968552011406776,-0.07273649131878233,-0.027219226313774353,-0.0005395074674180295,-0.005834280763450255,0.07463022973771243,0.05752658371408345,0.028844032708055356,-0.014414872221872724,-0.08288730366315689,-0.12030592864185564,-0.021719708750783828,-0.060254142935124294
glcm_entropy_d4,0.039558641325,0.24936089379834026,0.038938175694789016,-0.08573839761936564,-0.07022782854407265,0.04183780613742345,0.037447753702708905,-0.024237249243126407,-0.18534311271262238,0.10600392340812577,-0.17115559998063912,-0.24194435822272292,0.1889668185728241,0.05844677853673258,-0.03743947989089505,0.06790439628001674
glcm_correlation_d4,0.19394344642614414,-0.04483046422384882,-0.12356405140722276,-0.15440432647686947,-0.03803357191285833,0.07123181108287084,-0.1118943001633361,0.035394938027938076,0.13306824682040128,-0.0033231038789650127,-0.1537703076133714,-0.11508862185332225,-0.18723112601656478,-0.13332137898267143,0.009297708666776316,-0.09151459190698184
wav_L1_LL_energy,0.03204483074998903,0.24294594241066952,0.016258743077310806,0.21388461889530452,-0.009782523718721342,0.09887489813122219,0.016620533549775014,0.09827494123664404,0.12211366192172225,-0.11221125562791899,-0.038603364489151804,0.13379921755328777,-0.1664970790995866,-0.1377803180114225,0.06956091570703012,0.024193690761657886
wav_L1_LL_entropy,0.22542897386195382,0.02769821725214674,0.10611463187159845,0.035620202177664616,-0.07153857304235399,0.003313617291460994,-0.039422175053394834,-0.0015927621505272258,-0.03296170754263146,0.024027135499029986,-0.018259041021030986,0.03327732636465994,0.06334904389101953,0.100151155835084,-0.07040934231634477,0.051744869521697046
wav_L1_LL_mean,0.034494793713303044,0.25628586542685833,-0.0025627354161138864,0.1979831376538138,-0.01426745671468949,0.12159587411878191,0.007073668349797683,0.06292074759761652,0.027580806518197446,-0.08411292044522424,-0.053550298465055525,0.08438265349337448,-0.025850708573380163,-0.03538111730339133,0.03681003325727117,0.06549417592067913
wav_L1_LL_kurt,-0.06052263271229088,-0.18236486379279543,0.14930915622043864,0.2967017606324649,0.0791634259705318,-0.10888332259418368,0.05910211975802075,0.079577811495723,-0.02696169305063031,-0.047450304725885004,-0.27105475018465414,-0.0947726610285194,0.08089966495991838,-0.03029769180014172,0.06511282603623372,-0.06274046692007496
wav_L1_LH_energy,-0.1947584165874451,0.04673158833622871,0.19558756934439583,-0.11210441908067005,-0.04899469762295085,-0.031952291798996,0.09117666155635448,0.03203324851912378,0.028343872651983387,-0.05823235663681323,0.08937142636746273,-0.01819446315795823,-0.050101835041004954,-0.057647033247631346,-0.0012558124489515654,0.0769635738996784
wav_L1_LH_entropy,0.2048840494659026,0.06619196604905817,0.14121753212729599,-0.020462456075748783,-0.09403473604250445,-0.18735280291304612,0.03528072046447416,0.01448906158376305,0.015249171047783883,0.006594799336330249,-0.01812008502703737,-0.0006321004716758943,0.021471928534462163,0.015066094286447087,0.008953119485075718,-0.16451181473789644
wav_L1_LH_mean,-0.1267399596191522,0.016166867805601844,0.00045707297416608454,-0.21220432307945716,0.07688459801418053,-0.04227444858918215,0.36740708205283157,0.0917208506579852,-0.049670027075440375,-0.16862093782997722,0.05120226734045824,0.09571043065892787,-0.06375200851910022,0.26980654515506297,0.6715489316049642,0.09780418623726268
wav_L1_LH_kurt,0.13361471947922346,-0.18531472921338868,0.07298443548986915,0.011409689776993427,-0.04005372784049365,0.21916407888284847,0.022952835492677726,0.01746582895139766,0.010168374846483967,-0.06834610737715181,0.04352131647420983,0.0896796535086854,-0.04430759256246137,-0.008047367272901213,-0.0522046791123917,0.3398424594783201
wav_L1_HL_energy,-0.16892035574883815,0.0018748170699039548,0.26222021938574364,-0.021108343056082477,-0.058144745693095516,0.09836299702823609,-0.2026810369331954,0.027819123883836484,-0.011103554674670557,0.05025499633282113,0.079860294983505,0.08309815942039302,0.03375623361187546,0.03851994638300299,0.030351456592366613,-0.019005215046590748
wav_L1_HL_entropy,0.20353690309408456,0.023915781250421056,0.1295327105520112,-0.020727770175947575,-0.0829186064469837,-0.225882395574733,-0.09152333387902349,0.061481828707523035,0.07502182369632973,-0.03642731532935216,-0.06591928267658613,0.15605756214977495,0.03228025446101097,0.0697798293843806,-0.04745177677771565,0.07554160993563339
wav_L1_HL_mean,-0.04239656481416605,-0.016646033138999112,-0.05168937803570202,-0.077845631067328,0.09450281103805447,0.02453979891158187,0.06703212090270053,0.638557548554257,0.1460700175852355,-0.18581489295152753,0.2722531517834564,0.14047672638598527,0.4719591307521487,-0.16680147133218762,-0.16889860486060937,-0.0375759465765599
wav_L1_HL_kurt,0.17156381444728475,-0.10450112598289973,0.11615160685820768,0.0215232526855243,-0.11727553909623643,0.2055902916299225,0.22419105959422075,-0.0016228927417455837,-0.05527817897551435,-0.00523539689456928,0.08951226411693507,-0.1346821889290289,-0.03077041842912772,-0.0913973016225137,0.0012689453922943928,-0.15096440279641657
wav_L1_HH_energy,-0.18740176785065804,-0.0014526220732115874,0.22407002680478003,-0.08158542769577525,-0.08712976042985136,0.0448749125138397,-0.10062536164568626,-0.09997775384225033,0.013336860156410254,-0.0047636595474056034,-0.01806005801931451,0.08817319475356154,-0.0489272198457768,-0.08303053726448043,0.0009095498978947221,0.0555944269167328
wav_L1_HH_entropy,0.20697208153749794,0.0037507409643912863,0.15138740342372703,-0.009834686932561813,-0.06458440084845246,-0.16744690275795251,-0.07125338092604613,0.09787569506857767,0.02157456418839967,0.010582056505940246,-0.038385645164760826,0.04685873466133331,-0.012384773377251553,0.09010387205404571,-0.10447126151353352,0.07085280914205473
wav_L1_HH_mean,-0.05025806171490175,0.026386524155780435,0.023971481916024655,-0.09630194365918225,0.029942984900289186,0.025762702203401395,0.3913248322015014,-0.45591487235960426,0.005615632766788633,-0.15545555671198388,-0.27049451765968113,0.5537177813651829,0.16394539575751704,-0.11396142459760236,-0.2729258788339834,-0.0886435465491865
wav_L1_HH_kurt,0.18763239857006567,-0.10174859583472264,0.12017047955556844,-0.029097873613682032,-0.08225943227250274,0.14437255908867289,0.1479093068605959,-0.02600593103732223,-0.020656960217986266,-0.03412731474763474,0.08401540211277697,-0.0003076488453696854,0.05345173395736761,0.0077265575729973494,0.14363248251426955,-0.059013909650211326
wav_L2_LL_energy,0.02723804364202328,0.2435146815229312,0.010945833602172144,0.2138224762865168,-0.01608549867882296,0.0994134751172961,0.023570176200667547,0.10737447124072191,0.1154692574167171,-0.11327643322129952,-0.034883904509599065,0.13603058716515876,-0.16575617586610022,-0.13904753709067566,0.07325050186613419,0.03169854299840797
wav_L2_LL_entropy,0.2241891003515401,0.0278466313652426,0.11401439749754176,0.033414460608847,-0.07416977272854423,0.0011642738930032718,-0.03299971024485373,-0.0007783996666774819,-0.03949277789372662,0.020786001957656078,-0.01352393568882255,0.03791823543236939,0.07108706540215036,0.10673142162715296,-0.06316211466514673,0.054280603064620576
wav_L2_LL_mean,0.027094753047792505,0.257849130176505,-0.004511631069528644,0.1937444970243939,-0.020072763209145646,0.12131155336212343,0.013519877438072623,0.07078279927869538,0.02261293131203715,-0.08530496110471333,-0.04967345749256316,0.08598515725956865,-0.027400861759935793,-0.0397793879200314,0.04216707603298731,0.06948513974509954
wav_L2_LL_kurt,-0.05025918303518383,-0.18663755923008607,0.14106687931771075,0.28688217783419556,0.06965953084838566,-0.1227948330489966,0.058917879454099396,0.05541339442451193,-0.013913381578055583,-0.03930359362608501,-0.2752121049428204,-0.1204748543217899,0.09288572958991166,-0.045920805832864994,0.08200304347160883,-0.11503495439198654
wav_L2_LH_energy,-0.16890518199532123,0.06698101452856162,0.23536951443221596,-0.1115528621321882,-0.04761583152101691,-0.05688940100465886,0.09803877153995028,-0.047407604178540154,0.15191547353785126,-0.00015077469180151587,0.06517018137797903,-0.004420818125289397,-0.13801735796441722,-0.04602242623087358,-0.0157182205829645,-0.04012343592897818
wav_L2_LH_entropy,0.21457241562355614,0.05205829098615224,0.10344922811269504,-0.037318776876259424,-0.12429005990327252,-0.13149203420723585,0.007322134080620082,0.032295981102047934,-0.02769807449405414,-0.03175244923109564,0.013900312422024743,0.051845352019138695,0.07694847459859595,-0.011905273465068368,0.01292520338192898,-0.1994068278505117
wav_L2_LH_mean,-0.06548395537519118,0.04476492524998284,0.0006344118834421414,-0.10729708953065695,0.09615214427697862,0.15236662545331392,0.23426661082806263,0.13968343222833063,0.6073822615901677,0.07785990679378436,-0.25960566744189195,-0.13866265568413794,-0.01905085747990526,0.535673879697438,-0.21574822436274735,-0.1161643631076481
wav_L2_LH_kurt,0.07601346077512768,-0.19432626017266924,0.12375722033066237,0.06950225405023384,0.05273037610849245,0.2127584017697084,0.031928557020888614,-0.005158884287572243,0.023425986868064862,0.03073823238881228,-0.05374138336548834,-0.04018188367247404,-0.1313364278436027,0.10046169715630085,-0.048067230095544804,0.6210590695205952
wav_L2_HL_energy,-0.16480468427928305,0.004186587355711963,0.2579603141458338,-0.01986945873277855,-0.05150944742704674,0.10014613697565766,-0.1706370162119593,0.10016389221542006,-0.06557883771705753,0.07907001404666796,0.05052513366239765,0.12959246874261016,0.025342053158608272,0.11743331404416336,0.0085893268795912,-0.06894340108513097
wav_L2_HL_entropy,0.20162889619560545,0.048362164615908775,0.061953081031855546,-0.041341220213647924,-0.10054003245617374,-0.2773290242839662,-0.03719248195495644,-0.00699500757993954,0.10196075728187151,-0.09211762560528354,-0.04344127662684049,0.09799313614931138,0.03704139464842268,0.02007578320993939,0.09750868547263486,0.03732034096273773
wav_L2_HL_mean,-0.056695164738604586,-0.011358122585358633,-0.03025250336544274,-0.13493009830029332,0.023079717944740886,-0.06823212515095102,0.10088823470084349,0.369265428511346,-0.5462930956245438,-0.20890251272122998,-0.1724201591689653,0.12739546014237974,-0.46891206466113655,0.24531918520361282,-0.28573687036341844,-0.12685953310827588
wav_L2_HL_kurt,0.09397984686654147,-0.12705278639954867,0.12306484614169251,0.07989942380473393,-0.09480394187544174,0.37550265507260056,0.2221052790292963,0.046020653976171805,-0.13729205995511037,0.06972624930838964,0.12241767028158144,-0.15294833682874118,-0.05143984222816419,-0.07977951202196751,-0.19289938099233783,-0.15432320634029123
wav_L2_HH_energy,-0.19374974765897232,0.002066593412152554,0.18991496614659523,-0.12234427733734639,-0.07004793463886144,0.03231887574245239,-0.05469414944474384,0.07961396988596378,-0.00989184055780265,-0.04948810309561536,0.023267241046535967,0.05757227329143756,0.015376025719070784,-0.026135650131629065,-0.11736668800082442,-0.0010646101127482228
wav_L2_HH_entropy,0.1949019955742951,0.050433358313427254,0.14362926254680655,0.01172718123580521,-0.09862887429163661,-0.23160714894818538,-0.06397745366234447,0.049128624520154277,0.026287581530279422,0.05364870277999458,0.024379404375426728,0.07685910604164098,-0.059609427649215556,0.11682022446236602,-0.005073027875571138,0.07358248467013587
wav_L2_HH_mean,0.04219724834138993,-0.00677115339034927,-0.050246139306699494,0.025447282764704694,0.13581433621602862,-0.05438039517729074,0.23164826825671014,0.23324432275680682,-0.05242169215145533,0.8317453286693273,-0.06166623346702486,0.32074657081611213,-0.07341360431653626,-0.1581513606154739,0.07277845447507293,0.03016957808087146
wav_L2_HH_kurt,0.15554451663666058,-0.1312404157184808,0.12122140835547514,-0.02977697710374211,-0.04283473591357243,0.2503423885334895,0.17892877619150632,-0.011153563121130215,-0.04625700186556953,-0.0792914384818945,0.029012888484527887,-0.02453215550742741,0.07843481478897817,-0.10758585224109384,0.09363160748777223,-0.16521470642570102
